Torbalı Keçi Kalesi!Gülol Otel,Metropolis Otel
Kordon Boyu!Wyndham Grand,Ramada Plaza
Kuş Adası!Richmond Ephesus,Charisma Deluxe
St Pierre!Antakya Ottoman place thermal Resort,ÇanKaya Konakları
Samandağ Kumsalı!Truva Life Otel,Harbiye Sara Otel
İsos Harabeleri!Hattuşa Vacation Termal Club Erzin,FourWay Otel
Ulupınar Mağarası!Albatros Dağ Evleri,Altın Çeşmeli Konak,Brandon Towers
Ulu Cami!İbis Adana,Madi Otel
Adana Etnografya Müzesi!Çavuşoğlu Oteli
Karaalioğlu Parkı!Club Falcon,Nasa Flora
Konyaaltı Plajı!Polen Otel,Sea Side Otel
Kaleiçi!Eski Masal,Rixsos
Kapadokya!Azure Cave Suites,Sofa
